source_path	decision	target	action	effort	rationale
99 System/00 OS/Architektur.md	core	src/core/os	neutralize	M	Portable architecture with source-vault status and personal project links to remove.
99 System/00 OS/Entscheidungslogik.md	core	src/core/os	extract	S	General decision rules are portable without an instance dependency.
99 System/00 OS/Prinzipien.md	core	src/core/os	extract	S	General operating principles belong to the mandatory core.
99 System/00 OS/_README.md	core	src/core/os	extract	S	Portable layer description and navigation entry point.
99 System/00 OS/Änderungsprinzipien.md	core	src/core/os	extract	S	General change and rollback rules belong to the mandatory core.
99 System/01 Schema/Benennungsstandard.md	split	src/core/schema + src/modules/*	split	L	Base naming rules are portable while content-specific conventions belong to feature modules.
99 System/01 Schema/Frontmatter-Schema.md	split	src/core/schema + src/modules/* + instance-template	split	L	Base fields are core; contact, publishing, external-system, and local register fields are extensions.
99 System/01 Schema/Inhaltsarten.md	split	src/core/schema + src/modules/*	split	M	System content is core while projects, contacts, journal, and knowledge kinds are module-defined.
99 System/01 Schema/Linkstandard.md	core	src/core/schema	neutralize	M	Wiki-link rules are portable after paths and examples are made instance-neutral.
99 System/01 Schema/Ordnerstruktur.md	module	src/modules/para	neutralize	M	The numbered PARA folder layout is an optional opinionated profile.
99 System/01 Schema/Statusmodell.md	split	src/core/schema + src/modules/*	split	M	Lifecycle mechanics are core while allowed states and transitions depend on content modules.
99 System/01 Schema/Typenmodell.md	split	src/core/schema + src/modules/*	split	L	Type mechanics are core while the current type catalog is feature-specific.
99 System/01 Schema/_README.md	core	src/core/schema	extract	S	Portable schema-layer description and navigation entry point.
99 System/02 Register/Bereiche.md	split	src/core/registers + instance-template/registers	split	L	Register contract is portable; all concrete area values are instance-owned.
99 System/02 Register/Beziehungstypen.md	instance	instance-template/modules/contacts/registers	seed	M	Useful contact defaults must remain editable instance data rather than managed policy.
99 System/02 Register/Relevanzwerte.md	instance	instance-template/modules/contacts/registers	seed	S	Useful contact defaults must remain editable instance data rather than managed policy.
99 System/02 Register/Tag-Konventionen.md	core	src/core/registers	extract	S	General tag syntax and precedence rules are portable.
99 System/02 Register/_README.md	core	src/core/registers	neutralize	S	Portable register contract after distinguishing managed schemas from instance values.
99 System/03 Workflows/Ablage.md	module	src/modules/para/workflows	neutralize	M	Placement rules depend on the optional PARA folder and content model.
99 System/03 Workflows/Arbeitsnotizen.md	module	src/modules/knowledge/workflows	neutralize	M	Working-note processing is an optional knowledge module workflow.
99 System/03 Workflows/Archivierung.md	module	src/modules/para/workflows	neutralize	M	Archive paths and lifecycle behavior depend on the PARA profile.
99 System/03 Workflows/Bereiche.md	module	src/modules/para/workflows	neutralize	M	Area management belongs to the optional PARA profile.
99 System/03 Workflows/Eingang.md	module	src/modules/inbox/workflows	neutralize	M	Inbox processing is optional and depends on configured folders and downstream modules.
99 System/03 Workflows/Erkenntnisse.md	module	src/modules/knowledge/workflows	neutralize	M	Insight processing belongs to the optional knowledge module.
99 System/03 Workflows/Gesprächsnotizen.md	module	src/modules/knowledge/workflows	neutralize	M	Conversation-note processing belongs to the optional knowledge module.
99 System/03 Workflows/Inhaltsreview.md	module	src/modules/review/workflows	neutralize	M	Content review is optional and depends on review metadata and views.
99 System/03 Workflows/Inhaltsänderungslog.md	module	src/modules/governance/workflows	neutralize	M	Change logging is an optional governance policy, distinct from the local runtime log.
99 System/03 Workflows/Journal.md	module	src/modules/journal/workflows	neutralize	M	Periodic notes and their lifecycle belong to the optional journal module.
99 System/03 Workflows/Kontakte.md	module	src/modules/contacts/workflows	neutralize	M	Contact kinds and external references belong to the optional contacts module.
99 System/03 Workflows/Projekte.md	module	src/modules/para/workflows	neutralize	M	Project management belongs to the optional PARA profile.
99 System/03 Workflows/Wissen.md	module	src/modules/knowledge/workflows	neutralize	M	Durable knowledge processing belongs to the optional knowledge module.
99 System/03 Workflows/Wissenskreislauf.md	module	src/modules/knowledge/workflows	neutralize	M	The conversation-to-insight chain is optional and contains source-vault integration references.
99 System/03 Workflows/_README.md	core	src/core/workflows	neutralize	M	The workflow-layer contract is core but its module catalog must be generated or neutral.
99 System/04 Assets/Bausteine/Abschlussblock.md	module	src/modules/governance/assets	neutralize	M	The standardized context-and-actions block is an optional content-governance convention.
99 System/04 Assets/Bausteine/_README.md	module	src/modules/governance/assets	extract	S	Documentation for the optional reusable content blocks.
99 System/04 Assets/Prompts/Arbeitsnotiz anlegen.md	module	src/modules/knowledge/prompts	neutralize	M	Knowledge prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Bereich anlegen.md	module	src/modules/para/prompts	neutralize	M	PARA prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Erkenntnis anlegen.md	module	src/modules/knowledge/prompts	neutralize	M	Knowledge prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Gesprächsnotiz anlegen.md	module	src/modules/knowledge/prompts	neutralize	M	Knowledge prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Journal aufbereiten.md	module	src/modules/journal/prompts	neutralize	M	Journal prompt with source-vault names and local policy to parameterize.
99 System/04 Assets/Prompts/Journal-Notiz anlegen.md	module	src/modules/journal/prompts	neutralize	M	Journal prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Kontakt anlegen.md	module	src/modules/contacts/prompts	neutralize	L	Contact prompt includes source-vault and external-system assumptions.
99 System/04 Assets/Prompts/Notiz vereinheitlichen.md	module	src/modules/governance/prompts	neutralize	M	Normalization prompt must use selected schemas instead of source-vault names.
99 System/04 Assets/Prompts/Projekt anlegen.md	module	src/modules/para/prompts	neutralize	M	PARA prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Ressource anlegen.md	module	src/modules/knowledge/prompts	neutralize	M	Resource prompt with source-vault names and paths to parameterize.
99 System/04 Assets/Prompts/Wissenseintrag anlegen.md	module	src/modules/knowledge/prompts	neutralize	L	Knowledge prompt includes source-vault and publication-system assumptions.
